algorithm,variant,map_height,map_width,num_uavs,obstacle_density,coverage_mean,pa_mean,steps_mean,log_file
q-learning,global,5,5,2,0.0,0.999,0.089,221.2,logs\qlearning.log
q-learning,global,5,5,2,0.0,1.000,0.087,206.4,logs\qlearning.log
q-learning,per_uav,5,5,2,0.0,0.999,0.119,188.4,logs\qlearning.log
q-learning,per_uav,5,5,2,0.0,0.998,0.107,232.2,logs\qlearning.log
q-learning,global,5,5,2,0.1,0.920,0.080,268.7,logs\qlearning.log
q-learning,global,5,5,2,0.1,0.920,0.086,210.0,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.974,0.081,608.2,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.984,0.083,534.4,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.970,0.052,702.8,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.979,0.098,573.3,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.976,0.069,599.0,logs\qlearning.log
q-learning,global,5,5,2,0.0,0.999,0.073,267.0,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.987,0.109,474.4,logs\qlearning.log
q-learning,global,5,5,2,0.0,0.998,0.070,272.4,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.978,0.086,568.8,logs\qlearning.log
q-learning,global,5,5,2,0.0,0.996,0.069,337.2,logs\qlearning.log
q-learning,global,5,5,1,0.0,0.982,0.083,550.8,logs\qlearning.log
q-learning,global,5,5,2,0.0,0.998,0.096,221.0,logs\qlearning.log
q-learning,global,6,6,1,0.0,0.978,0.065,751.7,logs\qlearning.log
q-learning,global,6,6,2,0.0,0.998,0.066,363.8,logs\qlearning.log
q-learning,global,7,7,1,0.0,0.938,0.058,894.3,logs\qlearning.log
q-learning,global,7,7,2,0.0,0.993,0.064,511.8,logs\qlearning.log
q-learning,per_uav,5,5,1,0.0,0.970,0.048,709.6,logs\qlearning.log
q-learning,per_uav,5,5,2,0.0,0.994,0.066,362.8,logs\qlearning.log
q-learning,per_uav,6,6,1,0.0,0.977,0.078,700.9,logs\qlearning.log
q-learning,per_uav,6,6,2,0.0,0.992,0.078,429.6,logs\qlearning.log
q-learning,per_uav,7,7,1,0.0,0.953,0.058,877.1,logs\qlearning.log
q-learning,per_uav,7,7,2,0.0,0.989,0.057,610.8,logs\qlearning.log
q-learning,global,5,5,1,0.1,0.914,0.087,733.3,logs\qlearning.log
q-learning,global,5,5,2,0.1,0.920,0.069,278.5,logs\qlearning.log
q-learning,global,6,6,1,0.1,0.898,0.059,1152.9,logs\qlearning.log
q-learning,global,6,6,2,0.1,0.913,0.053,568.4,logs\qlearning.log
q-learning,global,7,7,1,0.1,0.897,0.034,1598.5,logs\qlearning.log
q-learning,global,7,7,2,0.1,0.914,0.044,774.5,logs\qlearning.log
q-learning,per_uav,5,5,1,0.1,0.914,0.106,634.0,logs\qlearning.log
q-learning,per_uav,5,5,2,0.1,0.918,0.082,339.8,logs\qlearning.log
q-learning,per_uav,6,6,1,0.1,0.902,0.048,1290.8,logs\qlearning.log
q-learning,per_uav,6,6,2,0.1,0.916,0.083,421.5,logs\qlearning.log
q-learning,per_uav,7,7,1,0.1,0.900,0.048,1396.4,logs\qlearning.log
q-learning,per_uav,7,7,2,0.1,0.909,0.044,1083.3,logs\qlearning.log
q-learning,global,8,8,1,0.0,0.937,0.062,977.6,logs\qlearning.log
q-learning,global,8,8,2,0.0,0.988,0.050,756.2,logs\qlearning.log
