Map Size,UAVs,Obstacle Density,Coverage,PA,Steps
12×12,4,0.00,1.000,0.070,577.5
12×12,6,0.00,0.998,0.046,1058.8
16×16,4,0.00,0.926,0.035,1813.9
16×16,6,0.00,1.000,0.049,1065.3
24×24,4,0.00,0.974,0.070,1993.4
24×24,6,0.00,0.969,0.048,1925.9
12×12,4,0.05,0.951,0.057,719.5
12×12,6,0.05,0.951,0.052,551.0
16×16,4,0.05,0.944,0.045,1516.2
16×16,6,0.05,0.953,0.051,881.2
24×24,4,0.05,0.924,0.066,1994.6
24×24,6,0.05,0.940,0.047,1908.5
12×12,4,0.10,0.902,0.048,800.0
12×12,6,0.10,0.903,0.049,522.9
16×16,4,0.10,0.889,0.038,1621.0
16×16,6,0.10,0.902,0.043,1026.8
24×24,4,0.10,0.866,0.062,1998.4
24×24,6,0.10,0.882,0.043,1958.4
12×12,4,0.20,0.799,0.014,1969.8
12×12,6,0.20,0.799,0.011,1924.9
16×16,4,0.20,0.767,0.024,1997.1
16×16,6,0.20,0.794,0.017,1978.6
24×24,4,0.20,0.730,0.052,2000.0
24×24,6,0.20,0.763,0.036,1997.2
